BS_m1_0h	BS_m2_0h	BS_m3_0h	BS_m4_6h_flag	BS_m5_6h_flag	BS_m6_6h_flag	BS_m7_6h_aCD3	BS_m8_6h_aCD3	BS_m9_6h_aCD3	BS_m10_24h_flag	BS_m11_24h_flag	BS_m12_24h_flag	BS_m13_24h_aCD3	BS_m14_24h_aCD3	BS_m15_24h_aCD3
ID=fig|671267.8.peg.4495;Name=Single-stranded DNA-binding protein	46	77	53	40	106	52	76	26	22	106	145	102	64	52	31
ID=fig|671267.8.peg.4496;Name=Hemolysins and related proteins containing CBS domains	20	17	15	28	65	24	45	0	8	56	78	31	51	11	14
ID=fig|671267.8.peg.4497;Name=Siderophore (Surfactin) biosynthesis regulatory protein	2	2	4	4	20	2	7	2	2	12	22	13	9	1	7
ID=fig|671267.8.peg.4498;Name=hypothetical protein	30	12	4	10	12	6	10	0	0	11	20	7	10	4	8
ID=fig|671267.8.peg.4499;Name=hypothetical protein	252	22	20	12	8	0	10	2	6	79	123	86	40	56	34
ID=fig|671267.8.peg.4500;Name=hypothetical protein	23	4	0	2	0	0	0	0	0	5	2	8	2	4	0
ID=fig|671267.8.peg.4501;Name=hypothetical protein	94	26	20	44	56	24	38	2	28	68	46	44	56	38	36
ID=fig|671267.8.peg.4502;Name=hypothetical protein	0	0	0	0	2	0	2	0	0	0	2	2	0	2	0
ID=fig|671267.8.peg.4503;Name=hypothetical protein	1	0	0	1	0	0	0	0	1	2	1	0	0	0	0
ID=fig|671267.8.peg.4504;Name=hypothetical protein	3	4	0	3	4	0	2	0	1	0	4	0	6	0	0
ID=fig|671267.8.peg.4505;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID=fig|671267.8.peg.4506;Name=hypothetical protein	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4507;Name=hypothetical protein	4	0	2	5	0	2	0	0	0	0	4	0	4	0	0
ID=fig|671267.8.peg.4508;Name=DNA recombination protein RmuC	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.4509;Name=hypothetical protein	2	2	2	4	0	0	6	0	2	8	6	2	20	2	2
ID=fig|671267.8.peg.4510;Name=hypothetical protein	11	4	0	10	0	2	4	0	0	3	8	5	0	8	2
ID=fig|671267.8.peg.4511;Name=hypothetical protein	355	96	72	196	54	56	36	10	38	62	28	25	66	68	38
ID=fig|671267.8.peg.4512;Name=Integrase	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4513;Name=hypothetical protein	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0
ID=fig|671267.8.peg.4514;Name=hypothetical protein	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4515;Name=Transcriptional regulator	8	2	0	4	0	0	0	0	2	0	4	4	2	0	0
ID=fig|671267.8.peg.4516;Name=hypothetical protein	24	8	2	8	6	0	0	0	2	10	8	10	6	4	6
ID=fig|671267.8.peg.4517;Name=hypothetical protein	2	0	0	2	0	0	4	0	0	4	0	0	0	0	0
ID=fig|671267.8.peg.4518;Name=FIG00407232: hypothetical protein	11	28	13	11	15	7	20	2	1	22	15	22	20	14	13
ID=fig|671267.8.peg.4519;Name=Phosphate regulon sensor protein PhoR (SphS) (EC 2.7.13.3);Ontology_term=KEGG_ENZYME:2.7.13.3	1	26	20	18	22	14	8	2	2	36	43	28	20	11	10
ID=fig|671267.8.peg.4520;Name=Phosphate regulon transcriptional regulatory protein PhoB (SphR)	11	14	26	15	35	8	16	6	6	40	37	26	22	20	10
ID=fig|671267.8.peg.4521;Name=L-asparaginase I%2C cytoplasmic (EC 3.5.1.1);Ontology_term=KEGG_ENZYME:3.5.1.1	4	16	6	27	79	20	36	2	8	10	10	18	14	4	2
ID=fig|671267.8.peg.4522;Name=Tryptophan synthase alpha chain (EC 4.2.1.20);Ontology_term=KEGG_ENZYME:4.2.1.20	2	12	0	2	2	2	6	0	2	12	6	8	4	4	2
ID=fig|671267.8.peg.4523;Name=Phosphoribosylanthranilate isomerase (EC 5.3.1.24);Ontology_term=KEGG_ENZYME:5.3.1.24	0	6	0	4	1	0	2	4	0	2	6	6	0	0	2
ID=fig|671267.8.peg.4524;Name=Indole-3-glycerol phosphate synthase (EC 4.1.1.48);Ontology_term=KEGG_ENZYME:4.1.1.48	0	8	0	6	14	2	2	2	0	10	8	9	2	0	0
ID=fig|671267.8.peg.4525;Name=Anthranilate phosphoribosyltransferase (EC 2.4.2.18);Ontology_term=KEGG_ENZYME:2.4.2.18	2	0	0	4	6	6	12	0	2	8	6	31	2	0	4
ID=fig|671267.8.peg.4526;Name=Anthranilate synthase%2C amidotransferase component (EC 4.1.3.27) @ Para-aminobenzoate synthase%2C amidotransferase component (EC 2.6.1.85);Ontology_term=KEGG_ENZYME:4.1.3.27,KEGG_ENZYME:2.6.1.85	0	2	6	2	6	4	8	4	0	8	2	22	2	4	2
ID=fig|671267.8.peg.4527;Name=Anthranilate synthase%2C aminase component (EC 4.1.3.27);Ontology_term=KEGG_ENZYME:4.1.3.27	2	4	2	14	14	12	16	4	2	8	6	54	2	0	2
ID=fig|671267.8.peg.4528;Name=Tryptophan synthase beta chain (EC 4.2.1.20);Ontology_term=KEGG_ENZYME:4.2.1.20	6	20	16	18	26	8	38	4	4	16	16	86	6	2	6
ID=fig|671267.8.peg.4529;Name=hypothetical protein	53	12	6	75	40	52	134	40	22	16	144	41	22	30	6
ID=fig|671267.8.peg.4530;Name=hypothetical protein	4	0	6	4	0	6	6	8	6	0	5	0	2	2	3
ID=fig|671267.8.peg.4531;Name=hypothetical protein	1	0	0	3	2	2	1	0	0	0	4	0	0	2	1
ID=fig|671267.8.peg.4532;Name=hypothetical protein	65	57	64	39	47	42	61	12	32	48	82	110	40	50	34
ID=fig|671267.8.peg.4533;Name=hypothetical protein	8	9	14	18	12	0	8	8	2	9	33	42	4	9	2
ID=fig|671267.8.peg.4534;Name=ApeH acylamino-acid-releasing enzyme (EC 3.4.19.1);Ontology_term=KEGG_ENZYME:3.4.19.1	278	307	232	134	133	116	126	64	94	313	317	304	129	199	93
ID=fig|671267.8.peg.4535;Name=Transcriptional regulator%2C AraC family	24	18	14	17	20	8	10	6	10	48	53	16	23	10	11
ID=fig|671267.8.peg.4536;Name=Membrane-fusion protein	4	24	16	76	152	17	118	14	32	14	28	7	8	36	5
ID=fig|671267.8.peg.4537;Name=AcrB/D/F family transporter	86	112	118	242	445	202	485	104	201	62	91	39	44	193	35
ID=fig|671267.8.peg.4538;Name=Efflux transport system%2C outer membrane factor (OMF) lipoprotein BT_1695	162	122	104	167	214	152	259	102	169	42	106	28	28	180	30
ID=fig|671267.8.peg.4539;Name=Outer membrane protein	14	4	6	14	30	28	52	6	10	16	24	4	4	14	0
ID=fig|671267.8.peg.4540;Name=Integral membrane protein	18	4	10	20	56	20	48	16	6	18	24	8	8	26	2
ID=fig|671267.8.peg.4541;Name=D-xylose proton-symporter XylE	56	87	88	22	29	28	12	6	16	163	154	176	70	68	24
ID=fig|671267.8.peg.4542;Name=hypothetical protein	5	4	0	0	2	0	0	0	0	16	7	12	12	9	2
ID=fig|671267.8.peg.4543;Name=hypothetical protein	25	38	26	22	30	16	26	8	4	62	89	74	34	27	18
ID=fig|671267.8.peg.4544;Name=D-xylose proton-symporter XylE	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID=fig|671267.8.peg.4545;Name=hypothetical protein	0	0	3	2	0	0	0	0	0	1	4	0	0	0	0
ID=fig|671267.8.peg.4546;Name=putative Tricorn-like protease	123	260	263	148	210	190	130	43	64	444	498	595	142	166	86
ID=fig|671267.8.peg.4547;Name=hypothetical protein	18	47	33	25	22	10	13	5	17	59	126	75	16	21	11
ID=fig|671267.8.peg.4548;Name=hypothetical protein	26	62	43	31	46	19	29	19	29	86	117	81	37	49	21
ID=fig|671267.8.peg.4549;Name=hypothetical protein	429	394	600	242	294	329	344	167	202	544	694	707	277	440	228
ID=fig|671267.8.peg.4550;Name=hypothetical protein	146	240	296	109	320	158	194	46	82	381	656	416	192	178	92
ID=fig|671267.8.peg.4551;Name=hypothetical protein	32	40	48	46	109	38	118	20	46	42	133	44	18	52	34
ID=fig|671267.8.peg.4552;Name=Methylmalonyl-CoA decarboxylase%2C beta chain (EC 4.1.1.41);Ontology_term=KEGG_ENZYME:4.1.1.41	98	469	400	180	286	360	227	66	76	490	473	422	316	204	175
ID=fig|671267.8.peg.4553;Name=Biotin carboxyl carrier protein > methylmalonyl-CoA decarboxylase	26	87	48	56	73	68	53	8	16	142	125	60	74	22	35
ID=fig|671267.8.peg.4554;Name=Lamin-tail domain (LTD) / Membrane protein associated with methylmalonyl-CoA decarboxylase	139	232	161	116	184	152	164	26	26	318	249	206	201	85	63
ID=fig|671267.8.peg.4555;Name=Methylmalonyl-CoA decarboxylase%2C alpha chain (EC 4.1.1.41);Ontology_term=KEGG_ENZYME:4.1.1.41	66	247	217	150	232	140	202	44	34	413	380	256	225	69	87
ID=fig|671267.8.peg.4556;Name=Methylmalonyl-CoA epimerase (EC 5.1.99.1);Ontology_term=KEGG_ENZYME:5.1.99.1	31	60	52	37	48	48	48	12	12	98	88	85	52	16	21
ID=fig|671267.8.peg.4557;Name=hypothetical protein	4	20	14	12	22	14	34	0	2	16	28	22	8	8	7
ID=fig|671267.8.peg.4558;Name=Nitroreductase family protein	22	24	14	12	24	10	14	0	0	27	24	22	10	14	0
ID=fig|671267.8.peg.4559;Name=hypothetical protein	2	4	6	0	6	0	10	2	2	15	24	5	4	6	4
ID=fig|671267.8.peg.4560;Name=FIG137884: hypothetical protein	14	18	18	8	27	6	21	4	4	18	32	15	8	4	6
ID=fig|671267.8.peg.4561;Name=3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (EC 3.1.3.45);Ontology_term=KEGG_ENZYME:3.1.3.45	4	10	0	8	5	2	16	2	0	28	18	26	6	6	2
ID=fig|671267.8.peg.4562;Name=Septum formation protein Maf	6	12	4	4	23	8	20	0	2	30	21	15	11	6	8
ID=fig|671267.8.peg.4563;Name=D-lactate dehydrogenase (EC 1.1.1.28);Ontology_term=KEGG_ENZYME:1.1.1.28	39	50	52	81	119	78	185	75	91	47	144	69	43	34	36
ID=fig|671267.8.peg.4564;Name=hypothetical protein	21	46	36	93	76	58	118	62	49	39	115	56	34	32	20
ID=fig|671267.8.peg.4565;Name=hypothetical protein	2	11	8	6	12	5	8	9	8	12	11	6	4	4	2
ID=fig|671267.8.peg.4566;Name=hypothetical protein	0	2	0	0	2	1	4	0	4	3	2	2	0	0	0
ID=fig|671267.8.peg.4567;Name=putative thiol-disulfide isomerase	48	46	36	18	24	27	26	2	8	40	67	34	26	44	20
ID=fig|671267.8.peg.4568;Name=hypothetical protein	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0
ID=fig|671267.8.peg.4569;Name=TonB-dependent receptor	178	44	60	34	98	16	44	17	36	106	76	88	2	74	0
ID=fig|671267.8.peg.4570;Name=putative lipoprotein	132	25	120	37	84	20	47	9	46	163	189	140	2	156	0
ID=fig|671267.8.peg.4571;Name=hypothetical protein	105	31	115	36	199	12	31	16	36	226	172	171	0	134	2
ID=fig|671267.8.peg.4572;Name=hypothetical protein	5	2	49	9	102	2	4	2	10	184	130	130	2	33	0
ID=fig|671267.8.peg.4573;Name=hypothetical protein	2	6	23	2	31	2	0	0	2	56	57	33	0	5	0
ID=fig|671267.8.peg.4574;Name=Efflux ABC transporter%2C ATP-binding protein	6	6	21	6	67	6	6	2	6	79	56	33	0	36	0
ID=fig|671267.8.peg.4575;Name=hypothetical protein	3	6	26	10	56	2	6	0	2	62	50	35	0	27	0
ID=fig|671267.8.peg.4576;Name=hypothetical protein	11	8	24	8	65	4	10	0	4	77	42	58	6	28	0
ID=fig|671267.8.peg.4577;Name=no significant homology.	12	5	21	5	19	2	11	2	3	22	15	3	9	1	9
ID=fig|671267.8.peg.4578;Name=hypothetical protein	38	28	38	24	46	14	30	6	20	81	110	55	60	28	41
ID=fig|671267.8.peg.4579;Name=hypothetical protein	10	2	0	3	1	2	1	0	1	11	5	3	8	3	5
ID=fig|671267.8.peg.4580;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.rna.91;Name=tRNA-Pseudo-CAT	44	2	8	2	10	2	6	0	2	14	20	18	0	8	2
ID=fig|671267.8.peg.4581;Name=hypothetical protein	29	26	13	24	21	14	31	3	13	33	42	38	32	20	27
ID=fig|671267.8.peg.4582;Name=hypothetical protein	15	38	21	12	35	12	21	13	15	57	60	58	44	33	10
ID=fig|671267.8.peg.4583;Name=hypothetical protein	4	4	0	8	2	0	6	0	0	4	7	4	2	2	2
ID=fig|671267.8.peg.4584;Name=Integrase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4585;Name=UPF0758 family protein	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0
ID=fig|671267.8.peg.4586;Name=YoeB toxin protein	51	13	4	11	7	1	3	0	4	8	16	10	14	11	4
ID=fig|671267.8.peg.4587;Name=YefM protein (antitoxin to YoeB)	61	13	0	7	1	3	9	0	9	8	13	12	6	15	0
ID=fig|671267.8.peg.4588;Name=no significant homology.	92	440	259	223	527	270	358	74	56	491	786	363	510	113	147
ID=fig|671267.8.peg.4589;Name=NifU-related domain containing protein	170	553	267	329	549	319	411	50	72	581	1174	482	588	110	164
ID=fig|671267.8.peg.4590;Name=hypothetical protein	8	6	7	8	8	4	9	0	4	15	40	32	2	8	16
ID=fig|671267.8.peg.4591;Name=Sodium/glutamate symporter	62	171	182	83	138	91	100	30	56	178	179	157	90	95	67
ID=fig|671267.8.peg.4592;Name=hypothetical protein	13	14	11	15	6	12	12	2	4	23	39	23	20	15	7
ID=fig|671267.8.peg.4593;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|671267.8.peg.4594;Name=hypothetical protein	291	167	84	280	356	96	210	24	170	439	782	592	170	119	48
ID=fig|671267.8.peg.4595;Name=hypothetical protein	35	17	34	32	72	10	41	8	12	74	43	29	16	18	20
ID=fig|671267.8.peg.4596;Name=tmRNA-binding protein SmpB	32	32	20	27	57	13	24	4	10	18	35	29	16	7	19
ID=fig|671267.8.peg.4597;Name=5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13);Ontology_term=KEGG_ENZYME:2.1.1.13	112	180	134	171	507	113	301	22	58	263	309	178	108	125	75
ID=fig|671267.8.peg.4598;Name=Nucleotidyl transferase possibly involved in threonylcarbamoyladenosine formation	10	23	24	14	28	12	14	4	6	56	57	33	20	7	14
ID=fig|671267.8.peg.4599;Name=Phosphotransferase involved in threonylcarbamoyladenosine t(6)A37 formation in tRNA	2	27	29	22	54	16	24	8	10	48	93	45	20	17	22
ID=fig|671267.8.peg.4600;Name=NADPH nitroreductase	57	115	111	41	71	70	38	20	29	137	171	147	57	73	71
ID=fig|671267.8.peg.4601;Name=N-acyl-L-amino acid amidohydrolase (EC 3.5.1.14);Ontology_term=KEGG_ENZYME:3.5.1.14	51	258	228	110	176	122	96	52	53	268	311	305	108	150	133
ID=fig|671267.8.peg.4602;Name=Chorismate synthase (EC 4.2.3.5);Ontology_term=KEGG_ENZYME:4.2.3.5	53	159	145	71	175	110	102	54	94	237	262	242	84	120	132
ID=fig|671267.8.peg.4603;Name=LemA family protein	6	10	4	9	18	10	18	6	2	34	40	32	12	4	4
ID=fig|671267.8.peg.4604;Name=Beta-propeller domains of methanol dehydrogenase type	12	20	16	10	26	22	16	2	6	45	56	30	25	10	14
ID=fig|671267.8.peg.4605;Name=Hydrolase%2C alpha/beta fold family	30	45	43	26	55	30	26	12	2	55	66	22	25	26	16
ID=fig|671267.8.peg.4606;Name=Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25);Ontology_term=KEGG_ENZYME:1.1.1.25	8	30	13	10	22	14	9	0	0	29	44	28	39	6	6
ID=fig|671267.8.peg.4607;Name=Demethylmenaquinone methyltransferase (EC 2.1.1.163);Ontology_term=KEGG_ENZYME:2.1.1.163	4	22	16	27	62	22	35	4	2	54	83	42	45	12	14
ID=fig|671267.8.peg.4608;Name=Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6);Ontology_term=KEGG_ENZYME:6.3.2.6	36	115	72	41	125	62	84	4	12	250	223	134	116	28	35
ID=fig|671267.8.peg.4609;Name=Phosphate starvation-inducible protein PhoH%2C predicted ATPase	12	16	8	18	32	12	30	2	2	40	40	38	18	12	4
ID=fig|671267.8.peg.4610;Name=hypothetical protein	0	0	2	12	12	4	10	4	2	12	15	6	8	4	4
ID=fig|671267.8.peg.4611;Name=tRNA pseudouridine(38-40) synthase (EC 5.4.99.12);Ontology_term=KEGG_ENZYME:5.4.99.12	14	4	2	6	19	6	10	2	2	6	15	4	6	2	0
ID=fig|671267.8.peg.4612;Name=Domain often clustered or fused with uracil-DNA glycosylase	1	2	6	2	17	0	6	0	0	8	9	0	9	10	2
ID=fig|671267.8.peg.4613;Name=Biotin synthase related domain containing protein	9	18	6	10	16	18	10	4	4	22	19	10	17	8	2
ID=fig|671267.8.peg.4614;Name=hypothetical protein	0	0	0	0	2	0	4	2	0	4	4	2	2	0	2
ID=fig|671267.8.peg.4615;Name=FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (EC 5.2.1.8);Ontology_term=KEGG_ENZYME:5.2.1.8	160	128	112	52	136	58	58	12	26	160	310	172	68	56	50
ID=fig|671267.8.peg.4616;Name=hypothetical protein	1764	188	104	114	126	42	144	26	76	272	1110	354	124	312	84
ID=fig|671267.8.peg.4617;Name=Dihydroxy-acid dehydratase (EC 4.2.1.9);Ontology_term=KEGG_ENZYME:4.2.1.9	48	63	32	18	50	18	38	18	16	103	168	70	14	38	6
ID=fig|671267.8.peg.4618;Name=Acetolactate synthase large subunit (EC 2.2.1.6);Ontology_term=KEGG_ENZYME:2.2.1.6	33	37	27	24	53	14	33	2	4	76	186	59	14	17	18
ID=fig|671267.8.peg.4619;Name=Acetolactate synthase small subunit (EC 2.2.1.6);Ontology_term=KEGG_ENZYME:2.2.1.6	5	14	2	4	11	4	18	0	2	19	100	21	10	11	8
ID=fig|671267.8.peg.4620;Name=Acyl-ACP thioesterase	10	12	10	0	15	6	5	0	0	20	77	21	10	2	0
ID=fig|671267.8.peg.4621;Name=Ketol-acid reductoisomerase (NAD(+)) (EC 1.1.1.382);Ontology_term=KEGG_ENZYME:1.1.1.382	24	88	36	4	24	14	22	0	2	132	248	90	14	36	2
ID=fig|671267.8.peg.4622;Name=TonB family protein	49	44	28	52	60	50	104	20	35	46	83	60	30	42	22
ID=fig|671267.8.peg.4623;Name=Oxaloacetate decarboxylase beta chain (EC 4.1.1.3) @ Methylmalonyl-CoA decarboxylase%2C beta chain (EC 4.1.1.41);Ontology_term=KEGG_ENZYME:4.1.1.3,KEGG_ENZYME:4.1.1.41	7	8	8	20	24	16	26	6	11	22	21	12	6	8	4
ID=fig|671267.8.peg.4624;Name=hypothetical protein	0	2	2	2	2	2	2	0	0	0	4	3	0	0	0
ID=fig|671267.8.peg.4625;Name=hypothetical protein	6	6	4	2	2	4	8	4	6	4	10	10	6	8	2
ID=fig|671267.8.peg.4626;Name=Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8);Ontology_term=KEGG_ENZYME:5.2.1.8	266	228	108	184	494	114	296	20	34	452	628	250	316	103	50
ID=fig|671267.8.peg.4627;Name=Hemolysins and related proteins containing CBS domains	12	10	12	8	24	6	12	0	0	48	65	22	30	6	8
ID=fig|671267.8.peg.4628;Name=Lipopolysaccharide export system protein LptC	13	19	10	14	35	7	16	4	4	60	73	41	26	6	12
ID=fig|671267.8.peg.4629;Name=TPR domain protein	631	827	538	404	633	274	454	66	110	1348	1761	1204	662	404	246
ID=fig|671267.8.peg.4630;Name=Putative outer membrane protein	222	118	68	76	194	52	102	10	12	250	254	163	112	58	36
ID=fig|671267.8.peg.4631;Name=Pantothenate kinase type III%2C CoaX-like (EC 2.7.1.33);Ontology_term=KEGG_ENZYME:2.7.1.33	12	16	16	10	40	16	42	0	6	40	22	16	14	4	4
ID=fig|671267.8.peg.4632;Name=hypothetical protein	24	11	11	0	29	4	10	0	0	20	36	20	8	4	8
ID=fig|671267.8.peg.4633;Name=Alkaline phosphatase (EC 3.1.3.1);Ontology_term=KEGG_ENZYME:3.1.3.1	25	46	27	40	127	14	104	10	13	112	110	44	30	26	2
ID=fig|671267.8.peg.4634;Name=Protein translocase subunit SecA	227	460	370	394	816	370	634	80	151	740	906	494	340	312	188
ID=fig|671267.8.peg.4635;Name=hypothetical protein	24	26	40	40	99	42	48	10	24	72	78	50	45	27	14
ID=fig|671267.8.peg.4636;Name=hypothetical protein	118	158	166	106	131	76	100	42	120	206	476	270	103	133	56
ID=fig|671267.8.peg.4637;Name=hypothetical protein	0	0	0	0	3	0	2	0	0	2	5	4	1	2	0
ID=fig|671267.8.peg.4638;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.4639;Name=hypothetical protein	4	2	4	2	2	4	0	0	0	2	4	6	0	8	2
ID=fig|671267.8.peg.4640;Name=hypothetical protein	0	0	4	4	2	2	2	0	2	2	6	0	0	0	6
ID=fig|671267.8.peg.4641;Name=hypothetical protein	0	0	1	0	2	2	0	0	0	6	4	4	2	0	0
ID=fig|671267.8.peg.4642;Name=hypothetical protein	0	4	8	2	0	4	2	0	2	8	8	10	0	2	0
ID=fig|671267.8.peg.4643;Name=hypothetical protein	4	2	2	2	6	6	4	0	2	4	0	4	0	0	4
ID=fig|671267.8.peg.4644;Name=hypothetical protein	2	2	6	2	3	2	1	3	0	4	0	2	0	0	2
ID=fig|671267.8.peg.4645;Name=hypothetical protein	0	0	0	0	2	2	2	0	2	0	0	0	0	2	0
ID=fig|671267.8.peg.4646;Name=Putative DNA-binding protein in cluster with Type I restriction-modification system	2	12	22	6	17	8	12	0	2	24	26	14	7	8	2
ID=fig|671267.8.peg.4647;Name=FIG00404684: hypothetical protein	2	4	2	0	2	0	14	0	0	2	4	8	2	2	0
ID=fig|671267.8.peg.4648;Name=RNA polymerase ECF-type sigma factor	4	0	2	0	2	4	2	0	6	6	2	2	6	2	2
ID=fig|671267.8.peg.4649;Name=hypothetical protein	34	52	94	36	82	54	66	36	92	93	96	112	38	78	38
ID=fig|671267.8.peg.4650;Name=Valyl-tRNA synthetase (EC 6.1.1.9);Ontology_term=KEGG_ENZYME:6.1.1.9	90	146	70	152	389	63	214	28	42	198	225	66	132	70	46
ID=fig|671267.8.peg.4651;Name=Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8);Ontology_term=KEGG_ENZYME:3.6.1.8	7	34	23	52	62	46	60	14	28	32	59	28	24	14	21
ID=fig|671267.8.peg.4652;Name=hypothetical protein	48	56	63	259	307	165	257	95	271	67	109	53	37	57	41
ID=fig|671267.8.peg.4653;Name=hypothetical protein	28	61	48	202	261	145	213	167	281	25	119	57	23	69	52
ID=fig|671267.8.peg.4654;Name=RNA polymerase ECF-type sigma factor	6	19	18	57	98	52	109	54	72	27	24	14	15	8	4
ID=fig|671267.8.peg.4655;Name=Ribonuclease Z (EC 3.1.26.11);Ontology_term=KEGG_ENZYME:3.1.26.11	16	34	26	24	48	20	35	6	0	47	40	46	21	9	19
ID=fig|671267.8.peg.4656;Name=hypothetical domain / Cold shock protein of CSP family	18	18	50	77	122	62	48	12	54	197	109	187	68	95	89
ID=fig|671267.8.peg.4657;Name=SSU ribosomal protein S1p	682	469	307	485	1560	247	772	44	90	895	1801	475	687	194	183
ID=fig|671267.8.peg.4658;Name=hypothetical protein	4	4	3	1	3	4	5	1	0	11	9	11	9	0	0
ID=fig|671267.8.peg.4659;Name=Putative periplasmic protein	6	30	35	17	22	18	15	7	10	49	95	62	43	6	10
ID=fig|671267.8.peg.4660;Name=hypothetical protein	192	78	94	36	72	64	50	26	34	65	84	92	44	70	36
ID=fig|671267.8.peg.4661;Name=hypothetical protein	20	18	40	2	12	16	12	4	8	44	42	80	26	28	4
ID=fig|671267.8.peg.4662;Name=hypothetical protein	16	18	20	70	38	36	100	44	46	11	76	38	32	22	8
ID=fig|671267.8.peg.4663;Name=AmpG protein%2C beta-lactamase induction signal transducer	2	24	23	8	19	12	14	2	6	32	36	31	16	12	10
ID=fig|671267.8.peg.4664;Name=Amidase enhancer	18	40	47	22	33	44	16	10	6	116	42	39	32	38	30
ID=fig|671267.8.peg.4665;Name=putative glycosyltransferase - possibly involved in cell wall localization and side chain formation of rhamnose-glucose polysaccharide	12	38	22	30	64	28	20	2	4	56	68	52	30	20	24
ID=fig|671267.8.peg.4666;Name=23S rRNA (adenine(2503)-C(2))-methyltransferase @ tRNA (adenine(37)-C(2))-methyltransferase (EC 2.1.1.192);Ontology_term=KEGG_ENZYME:2.1.1.192	57	46	29	28	70	6	32	2	8	64	84	45	36	38	20
ID=fig|671267.8.peg.4667;Name=hypothetical protein	40	70	51	33	67	30	40	2	16	54	140	87	38	34	22
ID=fig|671267.8.peg.4668;Name=4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262);Ontology_term=KEGG_ENZYME:1.1.1.262	22	33	42	19	87	28	58	8	8	95	128	82	42	34	22
ID=fig|671267.8.peg.4669;Name=Nucleoside-diphosphate-sugar pyrophosphorylase	6	21	16	24	42	14	12	4	2	61	59	34	10	4	2
ID=fig|671267.8.peg.4670;Name=hypothetical protein	20	7	22	12	34	18	19	0	2	38	60	37	32	14	12
ID=fig|671267.8.peg.4671;Name=Phosphatidylglycerophosphate synthase	16	5	8	6	24	4	15	0	0	32	20	4	8	0	6
ID=fig|671267.8.peg.4672;Name=hypothetical protein	6	4	6	8	31	2	12	0	0	18	21	4	6	2	0
ID=fig|671267.8.peg.4673;Name=Pyrimidine 5'-nucleotidase YjjG (EC 3.1.3.5);Ontology_term=KEGG_ENZYME:3.1.3.5	2	2	2	3	5	2	4	2	0	9	20	6	0	0	0
ID=fig|671267.8.peg.4674;Name=Homolog of fucose/glucose/galactose permeases	2	3	0	5	16	0	6	0	0	8	6	2	0	4	0
ID=fig|671267.8.peg.4675;Name=Putative ribokinase	2	1	0	4	10	4	8	0	0	3	8	6	6	4	0
ID=fig|671267.8.peg.4676;Name=Inositol-1-phosphate synthase (EC 5.5.1.4);Ontology_term=KEGG_ENZYME:5.5.1.4	220	352	346	208	592	230	381	42	80	762	1118	683	445	227	178
ID=fig|671267.8.peg.4677;Name=hypothetical protein	2	3	1	2	2	0	2	0	0	2	4	3	4	0	0
ID=fig|671267.8.peg.4678;Name=Two-component system sensor histidine kinase	12	11	19	36	76	16	43	4	8	26	36	23	18	16	12
ID=fig|671267.8.peg.4679;Name=Transcriptional regulator	368	197	156	87	168	88	153	26	49	165	240	200	107	182	84
ID=fig|671267.8.peg.4680;Name=hypothetical protein	42	50	34	26	56	20	46	16	7	83	71	60	25	40	12
ID=fig|671267.8.peg.4681;Name=hypothetical protein	17	19	16	21	34	12	30	2	2	29	63	27	16	16	10
ID=fig|671267.8.peg.4682;Name=Protein translocase membrane subunit SecG	82	60	22	20	77	28	26	4	12	73	120	82	58	24	16
ID=fig|671267.8.peg.4683;Name=Exodeoxyribonuclease III (EC 3.1.11.2);Ontology_term=KEGG_ENZYME:3.1.11.2	14	14	6	22	21	12	10	2	2	26	47	40	16	4	6
ID=fig|671267.8.peg.4684;Name=hypothetical protein	1	0	0	0	4	0	6	0	0	2	3	2	0	2	0
ID=fig|671267.8.peg.4685;Name=hypothetical protein	3	8	7	6	8	0	3	0	0	5	6	2	4	4	0
