PD_m1_0h	PD_m2_0h	PD_m3_0h	PD_m4_6h_flag	PD_m5_6h_flag	PD_m6_6h_flag	PD_m7_6h_aCD3	PD_m8_6h_aCD3	PD_m9_6h_aCD3	PD_m10_24h_flag	PD_m11_24h_flag	PD_m12_24h_flag	PD_m13_24h_aCD3	PD_m14_24h_aCD3	PD_m15_24h_aCD3
ID=fig|823.92.peg.3543;Name=Modulator of drug activity B	4	2	2	6	6	7	12	5	2	12	2	2	10	2	0
ID=fig|823.92.peg.3544;Name=Transcriptional regulator%2C LysR family	0	2	2	2	4	8	12	2	0	0	2	0	2	0	0
ID=fig|823.92.peg.3545;Name=putative ribose phosphate pyrophosphokinase	2	0	0	2	2	4	4	0	2	2	2	0	4	0	0
ID=fig|823.92.peg.3546;Name=hypothetical protein	0	0	0	2	2	0	0	0	0	2	0	0	2	0	0
ID=fig|823.92.peg.3547;Name=hypothetical protein	21	4	10	0	2	0	1	0	2	4	2	14	12	8	2
ID=fig|823.92.peg.3548;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3549;Name=UPF0398 protein ABC2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3550;Name=FIG00896355: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3551;Name=FIG00938992: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3552;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3553;Name=hypothetical protein	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0
ID=fig|823.92.peg.3554;Name=hypothetical protein	2	0	2	2	4	0	0	2	6	2	0	0	0	2	2
ID=fig|823.92.peg.3555;Name=Conjugative transposon protein TraQ	2	0	0	0	0	2	0	0	1	4	0	2	0	0	0
ID=fig|823.92.peg.3556;Name=DNA-cytosine methyltransferase (EC 2.1.1.37);Ontology_term=KEGG_ENZYME:2.1.1.37	2	3	8	0	0	4	4	0	4	9	8	6	2	4	0
ID=fig|823.92.peg.3557;Name=Conjugative transposon protein TraO	0	1	4	2	0	0	1	0	2	6	2	0	0	0	0
ID=fig|823.92.peg.3558;Name=Conjugative transposon protein TraN	4	1	6	2	4	2	7	2	6	4	4	10	0	0	0
ID=fig|823.92.peg.3559;Name=Conjugative transposon protein TraM	2	2	6	0	4	6	0	0	6	8	3	8	0	4	0
ID=fig|823.92.peg.3560;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0
ID=fig|823.92.peg.3561;Name=Conjugative transposon protein TraK	0	0	0	0	2	8	0	2	0	2	0	2	0	0	0
ID=fig|823.92.peg.3562;Name=Conjugative transposon protein TraJ	0	0	2	2	0	0	10	0	2	2	4	4	0	0	0
ID=fig|823.92.peg.3563;Name=Conjugative transposon protein TraI	2	2	0	5	6	2	2	0	2	0	6	3	0	0	0
ID=fig|823.92.peg.3564;Name=Conjugative transposon protein TraH	0	0	2	1	0	0	0	0	2	0	0	3	0	2	0
ID=fig|823.92.peg.3565;Name=Conjugative transposon protein TraG	0	2	2	2	2	4	2	4	2	4	2	8	0	0	0
ID=fig|823.92.repeat.69;Name=repeat region	29	13	11	15	38	8	20	19	32	35	26	29	10	25	0
ID=fig|823.92.peg.3566;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3567;Name=Regulatory sensor-transducer%2C BlaR1/MecR1 family / TonB-dependent receptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3568;Name=Regulatory sensor-transducer%2C BlaR1/MecR1 family / TonB-dependent receptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3569;Name=putative membrane protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3570;Name=FIG00898428: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3571;Name=Mobilization protein BmgA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3572;Name=Mobilization protein BmgB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3573;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	228	928	836	423	748	761	793	280	278	1496	1545	2018	1460	594	469
ID=fig|823.92.peg.3574;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	360	879	612	238	404	534	451	220	251	1276	1028	1608	1045	611	452
ID=fig|823.92.peg.3575;Name=Hydrolase%2C alpha/beta fold family	26	50	36	40	54	38	40	40	42	62	24	79	48	42	26
ID=fig|823.92.peg.3576;Name=Bis-ABC ATPase YheS	14	54	48	34	68	46	79	36	34	65	74	48	66	42	18
ID=fig|823.92.peg.3577;Name=N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25);Ontology_term=KEGG_ENZYME:3.5.1.25	19	47	56	48	104	94	91	56	50	96	124	103	74	30	29
ID=fig|823.92.peg.3578;Name=N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25);Ontology_term=KEGG_ENZYME:3.5.1.25	27	55	64	42	68	59	91	42	34	114	110	137	92	52	35
ID=fig|823.92.peg.3579;Name=Glucosamine-6-phosphate deaminase (EC 3.5.99.6);Ontology_term=KEGG_ENZYME:3.5.99.6	295	558	657	574	692	713	880	496	424	899	819	932	430	442	292
ID=fig|823.92.peg.3580;Name=RNA polymerase ECF-type sigma factor	0	0	0	2	0	0	2	0	0	2	6	4	0	2	0
ID=fig|823.92.peg.3581;Name=Putative anti-sigma factor	16	10	12	6	4	4	7	0	14	10	14	18	10	8	6
ID=fig|823.92.peg.3582;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	8	10	4	4	14	8	10	10	8	20	20	14	10	8	6
ID=fig|823.92.peg.3583;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	2	14	16	4	8	6	0	4	4	12	17	14	4	12	8
ID=fig|823.92.peg.3584;Name=FIG00897916: hypothetical protein	40	54	48	12	22	11	26	24	24	30	36	38	18	36	6
ID=fig|823.92.peg.3585;Name=alpha-mannosidase	26	64	46	30	50	53	34	26	30	64	38	64	40	52	24
ID=fig|823.92.peg.3586;Name=Putative sodium-dependent transporter	0	4	12	4	16	12	10	8	10	24	25	24	8	9	6
ID=fig|823.92.peg.3587;Name=hypothetical protein	14	12	22	8	20	14	18	10	18	20	31	42	38	17	14
ID=fig|823.92.peg.3588;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ID=fig|823.92.peg.3589;Name=hypothetical protein	21	20	26	19	26	16	27	12	20	51	47	34	34	20	12
ID=fig|823.92.peg.3590;Name=Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63);Ontology_term=KEGG_ENZYME:2.1.1.63	12	38	59	15	50	35	47	8	22	83	72	60	82	41	14
ID=fig|823.92.peg.3591;Name=Ferritin-like protein 2	131	174	140	86	150	126	230	64	122	214	317	236	250	92	54
ID=fig|823.92.peg.3592;Name=FIG00897553: hypothetical protein	8	16	15	14	18	15	14	2	10	17	43	36	14	8	5
ID=fig|823.92.repeat.70;Name=repeat region	6	8	7	2	2	5	2	2	6	19	18	18	8	6	3
ID=fig|823.92.peg.3593;Name=Threonine synthase (EC 4.2.3.1);Ontology_term=KEGG_ENZYME:4.2.3.1	26	109	122	67	94	68	94	50	30	130	205	145	132	58	33
ID=fig|823.92.peg.3594;Name=Predicted functional analog of homoserine kinase (EC 2.7.1.-);Ontology_term=KEGG_ENZYME:2.7.1.-	69	179	148	70	93	149	122	67	56	188	199	185	111	74	57
ID=fig|823.92.peg.3595;Name=Aspartokinase (EC 2.7.2.4) / Homoserine dehydrogenase (EC 1.1.1.3);Ontology_term=KEGG_ENZYME:2.7.2.4,KEGG_ENZYME:1.1.1.3	203	484	490	250	396	299	354	157	187	525	510	482	378	266	186
ID=fig|823.92.peg.3596;Name=Permease of the drug/metabolite transporter (DMT) superfamily	2	2	8	0	8	4	2	4	0	10	4	12	6	6	6
ID=fig|823.92.peg.3597;Name=Cytoplasmic copper homeostasis protein CutC	37	49	40	14	31	30	39	21	10	53	62	47	30	20	17
ID=fig|823.92.peg.3598;Name=FIG00898357: hypothetical protein	6	5	4	0	7	2	7	2	4	6	8	36	2	6	5
ID=fig|823.92.peg.3599;Name=RND efflux system%2C membrane fusion protein	8	6	14	4	16	4	12	4	14	4	2	6	8	20	2
ID=fig|823.92.peg.3600;Name=RND efflux system%2C inner membrane transporter	10	12	32	30	52	18	38	22	23	18	18	18	12	2	4
ID=fig|823.92.peg.3601;Name=FIG00899222: hypothetical protein	0	8	8	8	22	10	18	0	5	8	4	14	0	8	2
ID=fig|823.92.peg.3602;Name=FIG00897715: hypothetical protein	26	50	66	18	26	28	28	12	17	114	80	92	71	66	26
ID=fig|823.92.peg.3603;Name=hypothetical protein	113	55	84	62	75	71	119	61	59	72	115	133	67	105	58
ID=fig|823.92.peg.3604;Name=Excinuclease ABC subunit B	49	102	128	79	154	143	147	80	105	207	133	259	106	117	66
ID=fig|823.92.peg.3605;Name=probable lipoprotein YPO2292	32	27	24	21	37	23	12	17	19	47	32	44	30	29	13
ID=fig|823.92.peg.3606;Name=FIG00898388: hypothetical protein	50	30	44	36	34	24	54	20	24	46	88	78	34	45	9
ID=fig|823.92.peg.3607;Name=Transcriptional regulator%2C Crp/Fnr family	1692	1598	1034	994	1164	1102	1312	780	1531	1082	1427	1578	1409	1333	1426
ID=fig|823.92.peg.3608;Name=2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55);Ontology_term=KEGG_ENZYME:2.5.1.55	10	22	28	18	34	20	29	16	22	42	27	48	28	10	10
ID=fig|823.92.peg.3609;Name=tRNA dimethylallyltransferase (EC 2.5.1.75);Ontology_term=KEGG_ENZYME:2.5.1.75	30	22	24	9	40	20	23	8	6	24	32	38	38	18	12
ID=fig|823.92.peg.3610;Name=NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12);Ontology_term=KEGG_ENZYME:1.2.1.12	410	1003	843	617	1179	666	1286	415	529	1315	2136	1216	1611	619	334
ID=fig|823.92.peg.3611;Name=FIG00898619: hypothetical protein	72	109	83	80	111	95	123	47	124	199	157	264	136	127	66
ID=fig|823.92.peg.3612;Name=FIG00896667: hypothetical protein	376	252	201	221	207	200	362	133	349	357	433	453	316	320	200
ID=fig|823.92.peg.3613;Name=FIG00898632: hypothetical protein	1002	626	500	646	661	595	1188	626	1267	781	900	1181	728	770	494
ID=fig|823.92.peg.3614;Name=Ribosomal protein L11 methyltransferase (EC 2.1.1.-);Ontology_term=KEGG_ENZYME:2.1.1.-	12	2	18	4	20	14	32	5	4	14	23	26	19	8	10
ID=fig|823.92.peg.3615;Name=N-acetylmuramoyl-L-alanine amidase	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ID=fig|823.92.peg.3616;Name=hypothetical protein	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3617;Name=hypothetical protein	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3618;Name=FIG00897290: hypothetical protein	0	2	0	2	0	0	0	4	0	0	0	2	0	0	0
ID=fig|823.92.peg.3619;Name=hypothetical protein	5	10	26	22	20	22	32	22	27	18	22	31	29	23	19
ID=fig|823.92.peg.3620;Name=FIG00896590: hypothetical protein	8	24	30	18	18	18	26	24	23	21	10	14	18	16	11
ID=fig|823.92.peg.3621;Name=FIG00898128: hypothetical protein	0	0	0	0	0	0	0	2	6	1	0	4	0	0	0
ID=fig|823.92.peg.3622;Name=FIG00899255: hypothetical protein	0	0	0	2	0	6	0	2	0	0	4	0	2	0	0
ID=fig|823.92.peg.3623;Name=Tyrosine type site-specific recombinase%2C probable regulator for PS locus	0	4	0	2	4	4	12	6	2	2	12	6	4	0	2
ID=fig|823.92.peg.3624;Name=Capsular polysaccharide transcription antitermination protein%2C UpxY family	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|823.92.peg.3625;Name=Hypothetical protein clustered with UpdY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3626;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3627;Name=FIG00898441: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3628;Name=Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33);Ontology_term=KEGG_ENZYME:2.7.8.33	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3629;Name=Membrane protein involved in the export of O-antigen%2C teichoic acid lipoteichoic acids	2	0	0	0	0	0	0	0	0	0	1	0	2	0	0
ID=fig|823.92.peg.3630;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID=fig|823.92.peg.3631;Name=Beta-1%2C3-glucosyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ID=fig|823.92.peg.3632;Name=2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60);Ontology_term=KEGG_ENZYME:2.7.7.60	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3633;Name=dTDP-glucose 4%2C6-dehydratase (EC 4.2.1.46);Ontology_term=KEGG_ENZYME:4.2.1.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3634;Name=Lipopolysaccharide cholinephosphotransferase LicD1 (EC 2.7.8.-);Ontology_term=KEGG_ENZYME:2.7.8.-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3635;Name=putative acyl carrier protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3636;Name=3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100);Ontology_term=KEGG_ENZYME:1.1.1.100	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|823.92.peg.3637;Name=3-oxoacyl-[acyl-carrier-protein] synthase%2C KASIII (EC 2.3.1.180);Ontology_term=KEGG_ENZYME:2.3.1.180	2	2	0	0	0	0	0	0	0	2	0	4	0	2	0
ID=fig|823.92.peg.3638;Name=putative lactoylglutathione lyase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3639;Name=Polyketide synthase modules and related proteins	0	0	0	0	0	0	0	2	0	0	4	0	2	4	0
ID=fig|823.92.peg.3640;Name=Acyl carrier protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3641;Name=FIG00898131: hypothetical protein	0	0	2	0	0	0	0	0	0	0	4	0	2	0	0
ID=fig|823.92.peg.3642;Name=Polysaccharide deacetylase	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0
ID=fig|823.92.peg.3643;Name=hypothetical protein	6	0	4	4	4	2	4	2	4	15	16	14	10	2	4
ID=fig|823.92.peg.3644;Name=LSU ribosomal protein L21p	71	42	62	53	160	38	113	17	47	124	245	135	158	42	42
ID=fig|823.92.peg.3645;Name=LSU ribosomal protein L27p	27	46	49	44	123	30	97	31	39	53	180	74	152	34	30
ID=fig|823.92.peg.3646;Name=Amidophosphoribosyltransferase (EC 2.4.2.14);Ontology_term=KEGG_ENZYME:2.4.2.14	16	16	26	26	50	22	50	22	22	28	59	38	32	28	6
ID=fig|823.92.peg.3647;Name=Tripeptide aminopeptidase (EC 3.4.11.4);Ontology_term=KEGG_ENZYME:3.4.11.4	52	87	94	53	120	74	125	64	60	133	144	184	126	96	57
ID=fig|823.92.peg.3648;Name=Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10);Ontology_term=KEGG_ENZYME:2.1.2.10	43	175	187	109	150	162	207	84	98	212	352	369	236	150	83
ID=fig|823.92.peg.3649;Name=FIG00897921: hypothetical protein	120	114	212	272	308	236	466	174	234	114	301	198	53	184	10
ID=fig|823.92.peg.3650;Name=Uncharacterized oxidoreductase YgjR	8	59	42	20	50	50	66	26	60	46	60	62	48	31	22
ID=fig|823.92.peg.3651;Name=FIG00898561: hypothetical protein	34	43	36	20	38	26	44	16	20	60	44	52	30	23	18
ID=fig|823.92.peg.3652;Name=hypothetical protein	2	0	2	10	4	2	4	4	6	8	12	0	6	2	0
ID=fig|823.92.peg.3653;Name=ATPase involved in DNA repair	60	94	104	78	136	66	147	88	64	99	130	64	123	48	72
ID=fig|823.92.peg.3654;Name=NAD synthetase (EC 6.3.1.5) / Glutamine amidotransferase chain of NAD synthetase;Ontology_term=KEGG_ENZYME:6.3.1.5	27	85	70	62	120	56	107	40	37	75	114	86	83	30	22
ID=fig|823.92.peg.3655;Name=hypothetical protein	1	3	0	2	6	5	9	4	5	3	0	12	6	2	2
ID=fig|823.92.peg.3656;Name=FIG00898367: hypothetical protein	3	4	2	0	6	15	11	4	9	2	10	20	10	4	2
ID=fig|823.92.peg.3657;Name=Glutamine synthetase type III%2C GlnN (EC 6.3.1.2);Ontology_term=KEGG_ENZYME:6.3.1.2	14	67	70	31	50	60	116	82	28	218	630	301	45	68	62
ID=fig|823.92.peg.3658;Name=L%2CL-diaminopimelate aminotransferase (EC 2.6.1.83);Ontology_term=KEGG_ENZYME:2.6.1.83	6	13	12	8	12	6	22	10	2	44	175	77	9	18	6
ID=fig|823.92.peg.3659;Name=Diaminopimelate epimerase (EC 5.1.1.7);Ontology_term=KEGG_ENZYME:5.1.1.7	6	8	8	2	0	6	8	2	2	16	76	32	2	10	2
ID=fig|823.92.peg.3660;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3661;Name=FIG00899240: hypothetical protein	192	754	470	562	623	558	758	203	508	844	1240	834	919	476	353
ID=fig|823.92.peg.3662;Name=Asparagine synthetase [glutamine-hydrolyzing] (EC 6.3.5.4);Ontology_term=KEGG_ENZYME:6.3.5.4	2	15	10	8	12	14	28	18	12	34	86	68	16	8	14
ID=fig|823.92.peg.3663;Name=Glutamate synthase [NADPH] small chain (EC 1.4.1.13);Ontology_term=KEGG_ENZYME:1.4.1.13	0	9	2	4	8	12	8	2	0	16	48	26	8	2	12
ID=fig|823.92.peg.3664;Name=Glutamate synthase [NADPH] large chain (EC 1.4.1.13);Ontology_term=KEGG_ENZYME:1.4.1.13	14	16	24	44	60	40	106	44	30	58	233	120	16	44	22
ID=fig|823.92.peg.3665;Name=FIG00898705: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3666;Name=FIG00899038: hypothetical protein	0	12	20	6	20	8	24	8	10	16	20	10	22	10	0
ID=fig|823.92.peg.3667;Name=TonB-dependent receptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.3668;Name=FIG00896557: hypothetical protein	0	0	0	4	2	2	0	0	0	0	0	0	0	0	2
ID=fig|823.92.peg.3669;Name=Phophatidylinositol-4-phosphate 5-kinase (EC 2.7.1.68);Ontology_term=KEGG_ENZYME:2.7.1.68	5	3	0	2	5	5	2	0	1	2	4	4	2	2	0
ID=fig|823.92.peg.3670;Name=Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)	8	7	9	4	18	4	27	8	4	10	29	7	6	8	2
ID=fig|823.92.peg.3671;Name=Peptidyl-tRNA hydrolase (EC 3.1.1.29);Ontology_term=KEGG_ENZYME:3.1.1.29	0	10	12	4	32	0	23	10	6	14	26	22	14	4	6
ID=fig|823.92.peg.3672;Name=LSU ribosomal protein L25p	80	74	72	54	194	58	142	16	48	130	276	90	170	60	32
ID=fig|823.92.peg.3673;Name=Probable short-chain dehydrogenase	3	12	13	7	20	20	18	10	8	29	13	24	8	8	6
ID=fig|823.92.peg.3674;Name=2%2C4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34);Ontology_term=KEGG_ENZYME:1.3.1.34	18	46	40	33	75	56	63	28	14	93	39	62	59	46	14
ID=fig|823.92.peg.3675;Name=FIG00936253: hypothetical protein	3	17	9	10	27	13	17	6	19	12	18	6	7	18	4
ID=fig|823.92.peg.3676;Name=RND efflux system%2C inner membrane transporter	48	155	159	236	365	314	349	161	148	128	75	64	106	172	108
ID=fig|823.92.peg.3677;Name=RND efflux system%2C membrane fusion protein	14	24	26	65	94	109	105	53	52	28	8	12	37	24	20
ID=fig|823.92.peg.3678;Name=Efflux transport system%2C outer membrane factor (OMF) lipoprotein BT_2688	10	24	30	75	156	101	96	62	67	33	18	14	27	42	22
ID=fig|823.92.peg.3679;Name=Transcriptional regulator%2C AcrR family	0	8	11	41	67	49	82	38	45	7	12	6	16	12	24
ID=fig|823.92.peg.3680;Name=Transcriptional regulator%2C AraC family	25	33	31	60	78	51	80	22	26	98	54	47	79	48	44
ID=fig|823.92.peg.3681;Name=FIG00897219: hypothetical protein	14	23	15	16	38	15	36	8	18	22	42	35	19	24	14
ID=fig|823.92.peg.3682;Name=Integral membrane protein	0	0	2	2	0	2	8	0	2	2	6	2	6	2	2
ID=fig|823.92.peg.3683;Name=FIG00898834: hypothetical protein	12	18	14	22	42	18	56	13	26	34	33	34	25	26	8
ID=fig|823.92.peg.3684;Name=FIG00896461: hypothetical protein	24	16	18	12	64	24	22	9	19	26	27	18	34	28	8
ID=fig|823.92.repeat.71;Name=repeat region	4	0	0	0	0	0	0	0	0	0	0	4	2	0	0
ID=fig|823.92.peg.3685;Name=outer membrane efflux protein	8	20	12	10	8	10	2	0	8	53	42	22	6	10	2
ID=fig|823.92.peg.3686;Name=ABC transporter%2C permease protein	7	10	54	4	10	12	10	14	18	61	62	74	22	33	16
ID=fig|823.92.peg.3687;Name=FIG00898232: hypothetical protein	11	26	64	6	18	36	14	18	10	70	70	100	22	29	14
ID=fig|823.92.peg.3688;Name=Acidobacterial duplicated orphan permease (function unknown)	22	41	78	20	12	22	6	12	20	100	64	131	32	62	18
ID=fig|823.92.peg.3689;Name=Acidobacterial duplicated orphan permease (function unknown)	42	49	65	24	27	32	46	37	31	44	62	124	33	66	19
ID=fig|823.92.peg.3690;Name=Choloylglycine hydrolase (EC 3.5.1.24);Ontology_term=KEGG_ENZYME:3.5.1.24	26	54	99	52	87	54	104	53	55	64	86	87	33	61	15
ID=fig|823.92.peg.3691;Name=Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9);Ontology_term=KEGG_ENZYME:2.5.1.9	28	64	74	56	102	112	238	94	120	52	106	66	104	44	50
ID=fig|823.92.peg.3692;Name=DnaJ-class molecular chaperone CbpA	119	194	221	144	186	125	205	147	277	151	263	304	70	196	30
ID=fig|823.92.peg.3693;Name=FIG00406025: hypothetical protein	211	134	128	89	80	76	154	56	170	108	151	163	48	172	40
ID=fig|823.92.repeat.72;Name=repeat region	130	76	69	23	45	47	50	40	51	39	41	47	42	86	12
ID=fig|823.92.peg.3694;Name=MATE efflux family protein	12	30	28	14	44	25	39	13	8	39	48	26	32	30	12
ID=fig|823.92.peg.3695;Name=Ribonuclease BN	30	29	42	23	54	27	46	21	31	56	77	86	47	69	23
ID=fig|823.92.peg.3696;Name=HtrA protease/chaperone protein	433	580	443	425	669	593	1211	541	689	339	388	379	274	595	150
ID=fig|823.92.peg.3697;Name=RNA polymerase sigma factor RpoD	361	490	410	297	645	355	580	181	309	421	514	337	537	334	194
ID=fig|823.92.peg.3698;Name=FIG00898824: hypothetical protein	72	332	291	110	217	234	236	144	124	294	253	252	224	182	106
ID=fig|823.92.peg.3699;Name=Mucin-desulfating sulfatase	18	78	62	47	68	62	100	44	55	80	84	84	68	32	38
ID=fig|823.92.repeat.73;Name=repeat region	80	30	30	30	56	24	51	27	17	58	153	69	29	65	20
ID=fig|823.92.peg.3700;Name=Putative lipase	8	4	6	2	18	8	14	2	5	12	16	16	4	4	6
ID=fig|823.92.peg.3701;Name=glycoside hydrolase family 30%2C candidate beta-glycosidase	4	12	10	8	16	4	12	6	11	4	51	24	10	10	0
ID=fig|823.92.peg.3702;Name=Probable Co/Zn/Cd efflux system membrane fusion protein	14	26	38	28	30	42	50	48	54	21	37	38	6	32	8
ID=fig|823.92.peg.3703;Name=Outer membrane efflux protein precursor	8	6	6	18	8	10	34	18	14	7	16	11	2	8	0
ID=fig|823.92.peg.3704;Name=Cobalt-zinc-cadmium resistance protein CzcA%3B Cation efflux system protein CusA	58	70	122	76	126	76	128	98	102	104	78	129	26	90	24
ID=fig|823.92.peg.3705;Name=FIG00897500: hypothetical protein	6	18	4	16	14	17	18	12	6	30	16	8	25	10	2
ID=fig|823.92.peg.3706;Name=FIG00897787: hypothetical protein	10	14	48	26	26	32	31	22	16	24	50	34	0	22	2
ID=fig|823.92.peg.3707;Name=Voltage-gated chloride channel family protein	12	4	8	3	13	16	18	4	8	20	20	13	10	12	8
ID=fig|823.92.peg.3708;Name=GldB	14	20	34	13	37	52	30	10	26	26	42	33	32	26	14
ID=fig|823.92.peg.3709;Name=BexA%2C multidrug efflux pump	2	6	8	10	6	4	14	2	2	7	2	10	4	6	0
ID=fig|823.92.peg.3710;Name=DNA polymerase III delta prime subunit (EC 2.7.7.7);Ontology_term=KEGG_ENZYME:2.7.7.7	25	32	37	28	46	23	30	25	14	43	51	24	52	28	16
ID=fig|823.92.peg.3711;Name=hypothetical protein	1	0	0	0	0	1	0	1	0	0	3	0	0	0	0
ID=fig|823.92.peg.3712;Name=5%2C10-methylenetetrahydrofolate reductase (EC 1.5.1.20);Ontology_term=KEGG_ENZYME:1.5.1.20	6	8	6	14	10	2	16	0	4	14	16	6	10	4	2
ID=fig|823.92.peg.3713;Name=Branched-chain amino acid aminotransferase (EC 2.6.1.42);Ontology_term=KEGG_ENZYME:2.6.1.42	11	133	121	59	96	106	102	42	58	148	195	192	166	93	70
ID=fig|823.92.peg.3714;Name=ATPase	72	107	69	55	105	102	108	18	54	171	174	111	123	95	58
ID=fig|823.92.peg.3715;Name=Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-);Ontology_term=KEGG_ENZYME:1.2.7.-	93	623	597	389	788	628	708	440	400	829	1045	804	817	304	381
ID=fig|823.92.peg.3716;Name=FIG00898720: hypothetical protein	12	16	20	12	22	18	22	10	18	32	37	32	16	20	7
ID=fig|823.92.peg.3717;Name=Aldo/keto reductase%2C SMc04056 family	32	88	104	82	114	98	120	88	60	96	72	94	86	42	54
ID=fig|823.92.peg.3718;Name=Hydrolase (HAD superfamily) in cluster with DUF1447	20	22	40	24	62	44	62	46	31	48	52	46	40	42	18
ID=fig|823.92.peg.3719;Name=Carbonic anhydrase%2C beta class (EC 4.2.1.1);Ontology_term=KEGG_ENZYME:4.2.1.1	110	82	78	60	64	48	86	61	55	58	83	108	58	84	12
ID=fig|823.92.peg.3720;Name=FIG00898020: hypothetical protein	8	4	7	8	16	13	22	8	24	33	17	34	32	23	22
ID=fig|823.92.peg.3721;Name=Aminopeptidase	104	90	66	68	123	84	115	36	57	125	96	116	108	106	30
ID=fig|823.92.peg.3722;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	259	1153	876	631	805	537	993	174	333	2244	2287	1741	2502	573	801
ID=fig|823.92.peg.3723;Name=FIG00898059: hypothetical protein	234	953	659	484	465	416	732	158	324	1610	1680	1265	2211	545	813
